feature,mean_abs_shap,expected_value
VIX_Entry_1515,6.679690945445392,-537.776914671703
Intraday_Move_OpenToEntry_1515,4.716778969232156,-537.776914671703
Intraday_Move_OpenToEntry_11,4.601897747552735,-537.776914671703
VIX_Entry_11,3.6564024374261765,-537.776914671703
gap,3.2514102941785374,-537.776914671703
DoW,0.0,-537.776914671703
L1_SPX_ATR_Pct,0.0,-537.776914671703
L1_SPX_Drawdown_Pct,0.0,-537.776914671703
L1_TS,0.0,-537.776914671703
L1_VIX_Close,0.0,-537.776914671703
L1_VIX_pct,0.0,-537.776914671703
L1_rv20,0.0,-537.776914671703
L1_rv5,0.0,-537.776914671703
L1_vvix_above_ema20,0.0,-537.776914671703
L1_vvix_above_ema30,0.0,-537.776914671703
L1_vvix_close,0.0,-537.776914671703
L1_vvix_ema20,0.0,-537.776914671703
L1_vvix_ema30,0.0,-537.776914671703
L1_vvix_pct,0.0,-537.776914671703
closing_vix,0.0,-537.776914671703
movement,0.0,-537.776914671703
opening_vix,0.0,-537.776914671703
t0_VIX_change_from_close_11,0.0,-537.776914671703
t0_VIX_change_from_close_15,0.0,-537.776914671703
