feature,mean_abs_shap,expected_value
Intraday_Move_OpenToEntry_11,629.3041281207334,-2522.8454431912196
Intraday_Move_OpenToEntry_1515,534.4728773290742,-2522.8454431912196
movement,419.87036131109005,-2522.8454431912196
VIX_Entry_11,368.7713717916239,-2522.8454431912196
VIX_Entry_1515,327.1416611615239,-2522.8454431912196
gap,219.63778662429502,-2522.8454431912196
DoW,0.0,-2522.8454431912196
L1_SPX_ATR_Pct,0.0,-2522.8454431912196
L1_SPX_Drawdown_Pct,0.0,-2522.8454431912196
L1_TS,0.0,-2522.8454431912196
L1_VIX_Close,0.0,-2522.8454431912196
L1_VIX_pct,0.0,-2522.8454431912196
L1_rv20,0.0,-2522.8454431912196
L1_rv5,0.0,-2522.8454431912196
L1_vvix_above_ema20,0.0,-2522.8454431912196
L1_vvix_above_ema30,0.0,-2522.8454431912196
L1_vvix_close,0.0,-2522.8454431912196
L1_vvix_ema20,0.0,-2522.8454431912196
L1_vvix_ema30,0.0,-2522.8454431912196
L1_vvix_pct,0.0,-2522.8454431912196
closing_vix,0.0,-2522.8454431912196
opening_vix,0.0,-2522.8454431912196
t0_VIX_change_from_close_11,0.0,-2522.8454431912196
t0_VIX_change_from_close_15,0.0,-2522.8454431912196
