book,open_date,pnl,pnl_winsor,prediction
PUTS_1DTE_1515,2022-09-26,-550.0,-550.0,-550.0149713568127
PUTS_1DTE_1515,2022-09-27,440.0,440.0,-558.1261616536149
PUTS_1DTE_1515,2022-09-28,-550.0,-550.0,-550.0858608089303
PUTS_1DTE_1515,2022-09-29,-550.0,-550.0,-552.952682431168
PUTS_1DTE_1515,2022-09-30,460.0,460.0,-547.3869296507628
PUTS_1DTE_1515,2022-10-03,450.0,450.0,-552.8468970080093
PUTS_1DTE_1515,2022-10-04,450.0,450.0,-552.8468970080093
PUTS_1DTE_1515,2022-10-05,-565.0,-565.0,-563.6033297939778
PUTS_1DTE_1515,2022-10-06,-550.0,-550.0,-556.8198792971621
PUTS_1DTE_1515,2022-10-07,-535.0,-535.0,-552.952682431168
PUTS_1DTE_1515,2022-10-10,-540.0,-540.0,-553.337175078883
PUTS_1DTE_1515,2022-10-11,455.0,455.0,-554.8595289108389
PUTS_1DTE_1515,2022-10-12,490.0,486.85,-557.1185649058771
PUTS_1DTE_1515,2022-10-13,-540.0,-540.0,-555.591537466957
PUTS_1DTE_1515,2022-10-14,460.0,460.0,-551.9274252163474
PUTS_1DTE_1515,2022-10-17,435.0,435.0,-552.6511323492304
PUTS_1DTE_1515,2022-10-18,-34.0,-34.0,-551.9274252163474
PUTS_1DTE_1515,2022-10-19,-535.0,-535.0,-557.799750271739
PUTS_1DTE_1515,2022-10-20,475.0,475.0,-547.3869296507628
PUTS_1DTE_1515,2022-10-21,460.0,460.0,-555.8233263158331
PUTS_1DTE_1515,2022-10-24,470.0,470.0,-555.3254513109638
PUTS_1DTE_1515,2022-10-25,-550.0,-550.0,-550.0858608089303
PUTS_1DTE_1515,2022-10-26,-540.0,-540.0,-552.4906601489977
PUTS_1DTE_1515,2022-10-27,480.0,480.0,-557.2143587578648
PUTS_1DTE_1515,2022-10-28,-550.0,-550.0,-550.6276848168105
PUTS_1DTE_1515,2022-10-31,-545.0,-545.0,-555.2646836484626
PUTS_1DTE_1515,2022-11-01,-530.0,-530.0,-552.4692492242276
PUTS_1DTE_1515,2022-11-02,-530.0,-530.0,-549.4819844728756
PUTS_1DTE_1515,2022-11-03,485.0,485.0,-558.4836716325523
PUTS_1DTE_1515,2022-11-04,410.0,410.0,-560.6293078640459
PUTS_1DTE_1515,2022-11-07,455.0,455.0,-561.2275690306868
PUTS_1DTE_1515,2022-11-08,-545.0,-545.0,-553.9736176909831
PUTS_1DTE_1515,2022-11-09,490.0,486.85,-553.494506439048
PUTS_1DTE_1515,2022-11-10,435.0,435.0,-560.3705647528258
PUTS_1DTE_1515,2022-11-11,-560.0,-560.0,-562.0609475861245
PUTS_1DTE_1515,2022-11-14,440.0,440.0,-564.5087627747631
PUTS_1DTE_1515,2022-11-15,-570.0,-570.0,-570.0973987751302
PUTS_1DTE_1515,2022-11-16,-560.0,-560.0,-559.9737970994262
PUTS_1DTE_1515,2022-11-17,460.0,460.0,-562.1372286352897
PUTS_1DTE_1515,2022-11-18,-550.0,-550.0,-563.0245861595932
PUTS_1DTE_1515,2022-11-21,460.0,460.0,-555.1613003624998
PUTS_1DTE_1515,2022-11-22,430.0,430.0,-567.2080940809843
PUTS_1DTE_1515,2022-11-23,17.0,17.0,-570.5084393727898
PUTS_1DTE_1515,2022-11-28,198.0,198.0,-557.4125082362046
PUTS_1DTE_1515,2022-11-29,460.0,460.0,-563.4676815568705
PUTS_1DTE_1515,2022-11-30,420.0,420.0,-573.2337661812629
PUTS_1DTE_1515,2022-12-01,-360.0,-360.0,-582.6752516574819
PUTS_1DTE_1515,2022-12-02,-550.0,-550.0,-564.1221404030663
PUTS_1DTE_1515,2022-12-05,-580.0,-580.0,-579.7211574907166
PUTS_1DTE_1515,2022-12-06,475.0,475.0,-553.054294219568
PUTS_1DTE_1515,2022-12-07,440.0,440.0,-555.3890075808563
PUTS_1DTE_1515,2022-12-08,-575.0,-575.0,-575.0509151933064
PUTS_1DTE_1515,2022-12-09,450.0,450.0,-567.4715654119182
PUTS_1DTE_1515,2022-12-12,470.0,470.0,-557.1776841654686
PUTS_1DTE_1515,2022-12-13,-488.0,-488.0,-555.2151333343166
PUTS_1DTE_1515,2022-12-14,-525.0,-525.0,-565.3971282696706
PUTS_1DTE_1515,2022-12-15,-545.0,-545.0,-553.5163296862956
PUTS_1DTE_1515,2022-12-16,-530.0,-530.0,-546.9050564499513
PUTS_1DTE_1515,2022-12-19,425.0,425.0,-548.6017038515005
PUTS_1DTE_1515,2022-12-20,415.0,415.0,-567.130111636849
PUTS_1DTE_1515,2022-12-21,-555.0,-555.0,-562.6655687503843
PUTS_1DTE_1515,2022-12-22,420.0,420.0,-553.8701192946064
PUTS_1DTE_1515,2022-12-23,-580.0,-580.0,-579.9041940814529
PUTS_1DTE_1515,2022-12-27,-560.0,-560.0,-560.9565111900137
PUTS_1DTE_1515,2022-12-28,435.0,435.0,-553.8263901920145
PUTS_1DTE_1515,2022-12-29,-550.0,-550.0,-557.3797266938715
PUTS_1DTE_1515,2022-12-30,440.0,440.0,-560.5270203368952
PUTS_1DTE_1515,2023-01-03,455.0,455.0,-555.5575868689267
PUTS_1DTE_1515,2023-01-04,-565.0,-565.0,-570.9010461722869
PUTS_1DTE_1515,2023-01-05,470.0,470.0,-553.1364592626348
PUTS_1DTE_1515,2023-01-06,-565.0,-565.0,-564.8587699270773
PUTS_1DTE_1515,2023-01-09,470.0,470.0,-560.6705677039585
PUTS_1DTE_1515,2023-01-10,435.0,435.0,-578.0305384383737
PUTS_1DTE_1515,2023-01-11,455.0,455.0,-563.3952257174889
PUTS_1DTE_1515,2023-01-12,450.0,450.0,-569.1552912590593
PUTS_1DTE_1515,2023-01-13,405.0,405.0,-561.3435543579035
PUTS_1DTE_1515,2023-01-17,-570.0,-570.0,-574.096443670098
PUTS_1DTE_1515,2023-01-18,-580.0,-580.0,-570.9844544195653
PUTS_1DTE_1515,2023-01-19,430.0,430.0,-594.5214388945943
PUTS_1DTE_1515,2023-01-20,460.0,460.0,-559.3480068025484
PUTS_1DTE_1515,2023-01-23,460.0,460.0,-562.1643193539063
PUTS_1DTE_1515,2023-01-24,67.0,67.0,-576.8293061897301
PUTS_1DTE_1515,2023-01-25,440.0,440.0,-565.8621493541926
PUTS_1DTE_1515,2023-01-26,440.0,440.0,-563.3318457393513
