book,open_date,pnl,pnl_winsor,prediction
PUTS_1DTE_1515,2022-09-26,-550.0,-550.0,-550.8110406839692
PUTS_1DTE_1515,2022-09-27,440.0,440.0,-552.5805078794098
PUTS_1DTE_1515,2022-09-28,-550.0,-550.0,-553.1630435031741
PUTS_1DTE_1515,2022-09-29,-550.0,-550.0,-553.7984158552508
PUTS_1DTE_1515,2022-09-30,460.0,460.0,-550.0347120006338
PUTS_1DTE_1515,2022-10-03,450.0,450.0,-549.1032929726482
PUTS_1DTE_1515,2022-10-04,450.0,450.0,-548.3922844829852
PUTS_1DTE_1515,2022-10-05,-565.0,-565.0,-564.9739906728349
PUTS_1DTE_1515,2022-10-06,-550.0,-550.0,-554.7962969780068
PUTS_1DTE_1515,2022-10-07,-535.0,-535.0,-553.7984158552508
PUTS_1DTE_1515,2022-10-10,-540.0,-540.0,-548.7862600203235
PUTS_1DTE_1515,2022-10-11,455.0,455.0,-550.8205160244462
PUTS_1DTE_1515,2022-10-12,490.0,480.0,-552.1936065142454
PUTS_1DTE_1515,2022-10-13,-540.0,-540.0,-556.2149706527019
PUTS_1DTE_1515,2022-10-14,460.0,460.0,-556.3042101761923
PUTS_1DTE_1515,2022-10-17,435.0,435.0,-545.4065742002269
PUTS_1DTE_1515,2022-10-18,-34.0,-34.0,-554.6775794943346
PUTS_1DTE_1515,2022-10-19,-535.0,-535.0,-556.7407463434344
PUTS_1DTE_1515,2022-10-20,475.0,475.0,-551.5977376130052
PUTS_1DTE_1515,2022-10-21,460.0,460.0,-561.3662107300368
PUTS_1DTE_1515,2022-10-24,470.0,470.0,-546.8640192394303
PUTS_1DTE_1515,2022-10-25,-550.0,-550.0,-550.7329357053492
PUTS_1DTE_1515,2022-10-26,-540.0,-540.0,-555.3698291974814
PUTS_1DTE_1515,2022-10-27,480.0,480.0,-556.7952836980114
PUTS_1DTE_1515,2022-10-28,-550.0,-550.0,-556.024423703345
PUTS_1DTE_1515,2022-10-31,-545.0,-545.0,-550.7308648982494
PUTS_1DTE_1515,2022-11-01,-530.0,-530.0,-556.6503268396735
PUTS_1DTE_1515,2022-11-02,-530.0,-530.0,-555.4747216074476
PUTS_1DTE_1515,2022-11-03,485.0,480.0,-556.6647982125223
PUTS_1DTE_1515,2022-11-04,410.0,410.0,-555.8084580254651
PUTS_1DTE_1515,2022-11-07,455.0,455.0,-558.0548809419895
