"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6635 P STO 2.35 | 1 Sep 23 6625 P BTO 2.00",35,6656.92,"2025-09-23","16:00:00",0,"Expired",35,1,210326,965,"1dte_put_spread_10delta_10pts_1515",1.18,1,-10.08,43.49,100,-471.43
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6640 P STO 2.60 | 1 Sep 23 6630 P BTO 2.15",45,6656.92,"2025-09-23","16:00:00",0,"Expired",45,1,210291,955,"1dte_put_spread_12delta_10pts_1515",1.21,1,-10.08,43.49,100,-511.11
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6650 P STO 3.25 | 1 Sep 23 6640 P BTO 2.60",65,6656.92,"2025-09-23","16:00:00",0,"Expired",65,1,210246,935,"1dte_put_spread_14delta_10pts_1515",1.25,1,-10.08,43.49,100,-546.15
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6655 P STO 3.65 | 1 Sep 23 6645 P BTO 2.90",75,6656.92,"2025-09-23","16:00:00",0,"Expired",75,1,210181,925,"1dte_put_spread_16delta_10pts_1515",1.26,1,-10.08,43.49,100,-666.67
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6660 P STO 4.15 | 1 Sep 23 6650 P BTO 3.25",90,6656.92,"2025-09-23","16:00:00",308,"Expired",-218,1,210106,910,"1dte_put_spread_18delta_10pts_1515",1.28,58,-10.08,43.49,66.67,-733.33
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6665 P STO 4.75 | 1 Sep 23 6655 P BTO 3.65",110,6656.92,"2025-09-23","16:00:00",808,"Expired",-698,1,210324,890,"1dte_put_spread_20delta_10pts_1515",1.3,161,-10.08,43.49,59.09,-690.91
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6670 P STO 5.50 | 1 Sep 23 6660 P BTO 4.15",135,6656.92,"2025-09-23","16:00:00",1000,"Expired",-865,1,211022,865,"1dte_put_spread_25delta_10pts_1515",1.33,4.431,-10.08,43.49,55.56,-640.74
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6680 P STO 7.40 | 1 Sep 23 6670 P BTO 5.50",190,6656.92,"2025-09-23","16:00:00",1000,"Expired",-810,1,211887,810,"1dte_put_spread_30delta_10pts_1515",1.35,1.763,-10.08,43.49,42.11,-428.95
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6685 P STO 8.70 | 1 Sep 23 6675 P BTO 6.35",235,6656.92,"2025-09-23","16:00:00",1000,"Expired",-765,1,212697,765,"1dte_put_spread_35delta_10pts_1515 ",1.37,1.562,-10.08,43.49,36.17,-340.43
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6690 P STO 10.25 | 1 Sep 23 6680 P BTO 7.40",285,6656.92,"2025-09-23","16:00:00",1000,"Expired",-715,1,213462,715,"1dte_put_spread_40delta_10pts_1515 ",1.39,1.446,-10.08,43.49,28.07,-256.14
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6695 P STO 12.00 | 1 Sep 23 6685 P BTO 8.70",330,6656.92,"2025-09-23","16:00:00",1000,"Expired",-670,1,214177,670,"1dte_put_spread_45delta_10pts_1515",1.38,1.365,-10.08,43.49,13.64,-207.58
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6700 P STO 14.15 | 1 Sep 23 6690 P BTO 10.25",390,6656.92,"2025-09-23","16:00:00",1000,"Expired",-610,1,214847,610,"1dte_put_spread_50delta_10pts_1515",1.38,1.305,-10.08,43.49,5.13,-160.26
"2025-09-22","15:15:00",6697.77,"1 Sep 23 6625 P STO 2.00 | 1 Sep 23 6615 P BTO 1.70",30,6656.92,"2025-09-23","16:00:00",0,"Expired",30,1,215457,970,"1dte_put_spread_8delta_10pts_1515",1.18,1,-10.08,43.49,100,-250
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6585 P STO 2.70 | 1 Sep 22 6575 P BTO 2.40",30,6693.75,"2025-09-22","16:00:00",0,"Expired",30,1,215427,970,"1dte_put_spread_10delta_10pts_1515",1.12,1,15.15,13.2,100,-16.67
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6595 P STO 3.15 | 1 Sep 22 6585 P BTO 2.70",45,6693.75,"2025-09-22","16:00:00",0,"Expired",45,1,215397,955,"1dte_put_spread_12delta_10pts_1515",1.17,1,15.15,13.2,100,0
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6605 P STO 3.70 | 1 Sep 22 6595 P BTO 3.15",55,6693.75,"2025-09-22","16:00:00",0,"Expired",55,1,215352,945,"1dte_put_spread_14delta_10pts_1515",1.17,1,15.15,13.2,100,-9.09
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6610 P STO 4.05 | 1 Sep 22 6600 P BTO 3.40",65,6693.75,"2025-09-22","16:00:00",0,"Expired",65,1,215297,935,"1dte_put_spread_16delta_10pts_1515",1.19,1,15.15,13.2,100,-7.69
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6615 P STO 4.50 | 1 Sep 22 6605 P BTO 3.70",80,6693.75,"2025-09-22","16:00:00",0,"Expired",80,1,215232,920,"1dte_put_spread_18delta_10pts_1515",1.22,1,15.15,13.2,100,0
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6620 P STO 5.00 | 1 Sep 22 6610 P BTO 4.05",95,6693.75,"2025-09-22","16:00:00",0,"Expired",95,1,215152,905,"1dte_put_spread_20delta_10pts_1515",1.23,1,15.15,13.2,100,0
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6630 P STO 6.25 | 1 Sep 22 6620 P BTO 5.00",125,6693.75,"2025-09-22","16:00:00",0,"Expired",125,1,215057,875,"1dte_put_spread_25delta_10pts_1515",1.25,1,15.15,13.2,100,0
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6640 P STO 8.00 | 1 Sep 22 6630 P BTO 6.25",175,6693.75,"2025-09-22","16:00:00",0,"Expired",175,1,214932,825,"1dte_put_spread_30delta_10pts_1515",1.28,1,15.15,13.2,100,-31.43
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6645 P STO 9.20 | 1 Sep 22 6635 P BTO 7.05",215,6693.75,"2025-09-22","16:00:00",0,"Expired",215,1,214757,785,"1dte_put_spread_35delta_10pts_1515 ",1.3,1,15.15,13.2,100,-39.53
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6650 P STO 10.55 | 1 Sep 22 6640 P BTO 8.00",255,6693.75,"2025-09-22","16:00:00",0,"Expired",255,1,214542,745,"1dte_put_spread_40delta_10pts_1515 ",1.32,1,15.15,13.2,100,-49.02
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6655 P STO 12.20 | 1 Sep 22 6645 P BTO 9.20",300,6693.75,"2025-09-22","16:00:00",0,"Expired",300,1,214287,700,"1dte_put_spread_45delta_10pts_1515",1.33,1,15.15,13.2,100,-55
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6660 P STO 14.10 | 1 Sep 22 6650 P BTO 10.55",355,6693.75,"2025-09-22","16:00:00",0,"Expired",355,1,213987,645,"1dte_put_spread_50delta_10pts_1515",1.34,1,15.15,13.2,100,-59.15
"2025-09-19","15:15:00",6660.31,"1 Sep 22 6570 P STO 2.25 | 1 Sep 22 6560 P BTO 2.00",25,6693.75,"2025-09-22","16:00:00",0,"Expired",25,1,213632,975,"1dte_put_spread_8delta_10pts_1515",1.12,1,15.15,13.2,100,0
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6555 P STO 3.05 | 1 Sep 19 6545 P BTO 2.70",35,6664.36,"2025-09-19","16:00:00",0,"Expired",35,1,213607,965,"1dte_put_spread_10delta_10pts_1515",1.13,1,26.5,12.79,100,-57.14
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6565 P STO 3.55 | 1 Sep 19 6555 P BTO 3.05",50,6664.36,"2025-09-19","16:00:00",0,"Expired",50,1,213572,950,"1dte_put_spread_12delta_10pts_1515",1.16,1,26.5,12.79,100,-30
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6575 P STO 4.20 | 1 Sep 19 6565 P BTO 3.55",65,6664.36,"2025-09-19","16:00:00",0,"Expired",65,1,213522,935,"1dte_put_spread_14delta_10pts_1515",1.18,1,26.5,12.79,100,-30.77
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6585 P STO 5.00 | 1 Sep 19 6575 P BTO 4.20",80,6664.36,"2025-09-19","16:00:00",0,"Expired",80,1,213457,920,"1dte_put_spread_16delta_10pts_1515",1.19,1,26.5,12.79,100,-43.75
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6590 P STO 5.50 | 1 Sep 19 6580 P BTO 4.55",95,6664.36,"2025-09-19","16:00:00",0,"Expired",95,1,213377,905,"1dte_put_spread_18delta_10pts_1515",1.21,1,26.5,12.79,100,-42.11
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6595 P STO 6.05 | 1 Sep 19 6585 P BTO 5.00",105,6664.36,"2025-09-19","16:00:00",0,"Expired",105,1,213282,895,"1dte_put_spread_20delta_10pts_1515",1.21,1,26.5,12.79,100,-42.86
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6605 P STO 7.50 | 1 Sep 19 6595 P BTO 6.05",145,6664.36,"2025-09-19","16:00:00",0,"Expired",145,1,213177,855,"1dte_put_spread_25delta_10pts_1515",1.24,1,26.5,12.79,100,-37.93
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6615 P STO 9.45 | 1 Sep 19 6605 P BTO 7.50",195,6664.36,"2025-09-19","16:00:00",0,"Expired",195,1,213032,805,"1dte_put_spread_30delta_10pts_1515",1.26,1,26.5,12.79,100,-33.33
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6620 P STO 10.70 | 1 Sep 19 6610 P BTO 8.40",230,6664.36,"2025-09-19","16:00:00",0,"Expired",230,1,212837,770,"1dte_put_spread_35delta_10pts_1515 ",1.27,1,26.5,12.79,100,-30.43
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6630 P STO 13.70 | 1 Sep 19 6620 P BTO 10.70",300,6664.36,"2025-09-19","16:00:00",0,"Expired",300,1,212607,700,"1dte_put_spread_40delta_10pts_1515 ",1.28,1,26.5,12.79,100,-33.33
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6635 P STO 15.50 | 1 Sep 19 6625 P BTO 12.10",340,6664.36,"2025-09-19","16:00:00",0,"Expired",340,1,212307,660,"1dte_put_spread_45delta_10pts_1515",1.28,1,26.5,12.79,100,-29.41
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6640 P STO 17.60 | 1 Sep 19 6630 P BTO 13.70",390,6664.36,"2025-09-19","16:00:00",0,"Expired",390,1,211967,610,"1dte_put_spread_50delta_10pts_1515",1.28,1,26.5,12.79,100,-35.9
"2025-09-18","15:15:00",6639.64,"1 Sep 19 6540 P STO 2.55 | 1 Sep 19 6530 P BTO 2.30",25,6664.36,"2025-09-19","16:00:00",0,"Expired",25,1,211577,975,"1dte_put_spread_8delta_10pts_1515",1.11,1,26.5,12.79,100,-60
"2025-09-17","15:15:00",6588.88,"1 Sep 18 6495 P STO 3.60 | 1 Sep 18 6485 P BTO 3.05",55,6631.96,"2025-09-18","16:00:00",0,"Expired",55,1,211552,945,"1dte_put_spread_10delta_10pts_1515",1.18,1,-1.89,-15.99,100,0
"2025-09-17","15:15:00",6588.88,"1 Sep 18 6505 P STO 4.30 | 1 Sep 18 6495 P BTO 3.60",70,6631.96,"2025-09-18","16:00:00",0,"Expired",70,1,211497,930,"1dte_put_spread_12delta_10pts_1515",1.19,1,-1.89,-15.99,100,0
