"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2025-04-30","11:00:00",5486.84,"1 Apr 30 5560 C STO 2.75 | 1 Apr 30 5570 C BTO 2.10",65,5569.06,"2025-04-30","16:00:00",906,"Expired",-841,1,20056,935,"",1.31,13.571,26.05,24.93,-61.39,-12.6,84.62,-1293.85
"2025-04-29","11:00:00",5547.39,"1 Apr 29 5595 C STO 2.10 | 1 Apr 29 5605 C BTO 1.35",75,5560.83,"2025-04-29","16:00:00",0,"Expired",75,1,20897,925,"",1.56,1,24.83,24.21,-19.88,38.52,100,-46.67
"2025-04-28","11:00:00",5523.34,"1 Apr 28 5575 C STO 1.95 | 1 Apr 28 5585 C BTO 1.25",70,5528.75,"2025-04-28","16:00:00",0,"Expired",70,1,20822,930,"",1.56,1,25.23,24.99,4.01,-5.88,100,-14.29
"2025-04-25","11:00:00",5481.67,"1 Apr 25 5540 C STO 2.60 | 1 Apr 25 5550 C BTO 1.75",85,5525.21,"2025-04-25","16:00:00",0,"Expired",85,1,20752,915,"",1.49,1,26.22,25.05,4.96,-8.06,100,-205.88
"2025-04-24","11:00:00",5442.27,"1 Apr 24 5510 C STO 2.40 | 1 Apr 24 5520 C BTO 1.70",70,5484.77,"2025-04-24","16:00:00",0,"Expired",70,1,20667,930,"",1.41,1,27.34,26.68,5.52,60.89,100,-128.57
"2025-04-23","11:00:00",5442.6,"1 Apr 23 5525 C STO 3.20 | 1 Apr 23 5535 C BTO 2.45",75,5375.86,"2025-04-23","16:00:00",0,"Expired",75,1,20597,925,"",1.31,1,27.8,28.48,108.16,46.68,100,-13.33
"2025-04-22","11:00:00",5262.87,"1 Apr 22 5320 C STO 2.10 | 1 Apr 22 5330 C BTO 1.50",60,5287.76,"2025-04-22","16:00:00",0,"Expired",60,1,20522,940,"",1.4,1,30.38,30.5,49.47,55.2,100,-500
"2025-04-21","11:00:00",5162.22,"1 Apr 21 5240 C STO 2.90 | 1 Apr 21 5250 C BTO 2.30",60,5158.2,"2025-04-21","16:00:00",0,"Expired",60,1,20462,940,"",1.26,1,33.79,33.69,-49.76,-70.72,100,-8.33
"2025-04-17","11:00:00",5267.18,"1 Apr 17 5340 C STO 2.65 | 1 Apr 17 5350 C BTO 1.95",70,5282.7,"2025-04-17","16:00:00",0,"Expired",70,1,20402,930,"",1.36,1,32.39,30.08,29.75,-38.27,100,-350
"2025-04-16","11:00:00",5340.38,"1 Apr 16 5415 C STO 2.70 | 1 Apr 16 5425 C BTO 2.05",65,5275.7,"2025-04-16","16:00:00",0,"Expired",65,1,20332,935,"",1.32,1,30.24,32.74,-60.88,4.63,100,-146.15
"2025-04-15","11:00:00",5424.15,"1 Apr 15 5490 C STO 2.25 | 1 Apr 15 5500 C BTO 1.60",65,5396.63,"2025-04-15","16:00:00",0,"Expired",65,1,20267,935,"",1.41,1,29.25,30.02,6.02,12.16,100,-30.77
"2025-04-14","11:00:00",5443.28,"1 Apr 14 5525 C STO 3.10 | 1 Apr 14 5535 C BTO 2.35",75,5405.97,"2025-04-14","16:00:00",0,"Expired",75,1,20202,925,"",1.32,1,30.78,30.64,78.6,1.32,100,0
"2025-04-11","11:00:00",5250.24,"1 Apr 11 5405 C STO 5.90 | 1 Apr 11 5415 C BTO 5.20",70,5363.36,"2025-04-11","16:00:00",0,"Expired",70,1,20127,930,"",1.13,1,45.16,37.98,-12.49,-5.32,100,-342.86
"2025-04-10","11:00:00",5280.44,"1 Apr 10 5435 C STO 5.60 | 1 Apr 10 5445 C BTO 4.95",65,5268.05,"2025-04-10","16:00:00",0,"Expired",65,1,20057,935,"",1.13,1,39.39,40.86,-103.75,-72.71,100,-23.08
"2025-04-09","11:00:00",4949.68,"1 Apr 9 5125 C STO 6.15 | 1 Apr 9 5135 C BTO 5.20",95,5456.9,"2025-04-09","16:00:00",1000,"Expired",-905,1,19992,905,"",1.18,1.017,52.56,33.76,-17.49,-15.6,94.74,-36242.11
"2025-04-08","11:00:00",5197.45,"1 Apr 8 5315 C STO 4.20 | 1 Apr 8 5325 C BTO 3.35",85,4982.77,"2025-04-08","16:00:00",0,"Expired",85,1,20897,915,"",1.25,1,39.76,52.76,131.32,3.88,100,-17.65
"2025-04-07","11:00:00",5077.16,"1 Apr 7 5310 C STO 8.40 | 1 Apr 7 5320 C BTO 7.70",70,5062.25,"2025-04-07","16:00:00",0,"Expired",70,1,20812,930,"",1.09,1,45.25,48,-120.29,123.37,100,-28.57
"2025-04-04","11:00:00",5172.7,"1 Apr 4 5310 C STO 5.00 | 1 Apr 4 5320 C BTO 4.20",80,5074.08,"2025-04-04","16:00:00",0,"Expired",80,1,20742,920,"",1.19,1,40.97,43.87,-104.38,-119.44,100,-168.75
"2025-04-03","11:00:00",5421.74,"1 Apr 3 5515 C STO 3.30 | 1 Apr 3 5525 C BTO 2.65",65,5396.52,"2025-04-03","16:00:00",0,"Expired",65,1,20662,935,"",1.25,1,28.73,29.55,-178.23,-71,100,-246.15
"2025-04-02","11:00:00",5642.62,"1 Apr 2 5700 C STO 2.35 | 1 Apr 2 5710 C BTO 1.50",85,5670.97,"2025-04-02","16:00:00",0,"Expired",85,1,20597,915,"",1.57,1,21.85,21.55,-52.31,61.86,100,-394.12
"2025-04-01","11:00:00",5618.77,"1 Apr 1 5670 C STO 2.00 | 1 Apr 1 5680 C BTO 1.20",80,5633.07,"2025-04-01","16:00:00",0,"Expired",80,1,20512,920,"",1.67,1,21.93,21.8,-14.32,21.24,100,-162.5
"2025-03-31","11:00:00",5536.36,"1 Mar 31 5600 C STO 2.50 | 1 Mar 31 5610 C BTO 1.65",85,5611.85,"2025-03-31","16:00:00",1000,"Expired",-915,1,20432,915,"",1.52,5.682,22.91,21.9,-53.03,8.45,35.29,-1076.47
"2025-03-28","11:00:00",5609.22,"1 Mar 28 5670 C STO 2.40 | 1 Mar 28 5680 C BTO 1.70",70,5580.94,"2025-03-28","16:00:00",0,"Expired",70,1,21347,930,"",1.41,1,20.6,21.59,-14.11,-69.98,100,-7.14
"2025-03-27","11:00:00",5731.54,"1 Mar 27 5770 C STO 1.35 | 1 Mar 27 5780 C BTO 0.75",60,5693.31,"2025-03-27","16:00:00",0,"Expired",60,1,21277,940,"",1.8,1,17.96,18.69,-16.56,35.9,100,-8.33
"2025-03-26","11:00:00",5757.23,"1 Mar 26 5790 C STO 1.25 | 1 Mar 26 5800 C BTO 0.65",60,5712.2,"2025-03-26","16:00:00",0,"Expired",60,1,21217,940,"",1.92,1,17.5,18.39,-4.99,-14.43,100,-16.67
"2025-03-25","11:00:00",5783.1,"1 Mar 25 5810 C STO 1.20 | 1 Mar 25 5820 C BTO 0.55",65,5776.65,"2025-03-25","16:00:00",0,"Expired",65,1,21157,935,"",2.18,1,17.37,17.07,8.39,7.14,100,-15.38
"2025-03-24","11:00:00",5758.43,"1 Mar 24 5785 C STO 1.25 | 1 Mar 24 5795 C BTO 0.55",70,5767.57,"2025-03-24","16:00:00",0,"Expired",70,1,21092,930,"",2.27,1,18.26,17.58,50.52,40.35,100,-57.14
"2025-03-21","11:00:00",5637.25,"1 Mar 21 5690 C STO 1.85 | 1 Mar 21 5700 C BTO 1.05",80,5667.56,"2025-03-21","16:00:00",0,"Expired",80,1,21022,920,"",1.76,1,20,19.26,-32.16,6.52,100,-68.75
"2025-03-20","11:00:00",5700.12,"1 Mar 20 5745 C STO 1.95 | 1 Mar 20 5755 C BTO 1.05",90,5662.89,"2025-03-20","16:00:00",0,"Expired",90,1,20942,910,"",1.86,1,19.64,19.82,-28.37,53.2,100,0
"2025-03-19","11:00:00",5641.05,"1 Mar 19 5705 C STO 2.80 | 1 Mar 19 5715 C BTO 1.80",100,5675.29,"2025-03-19","16:00:00",0,"Expired",100,1,20852,900,"",1.56,1,20.88,20.05,17.71,8.68,100,-445
"2025-03-18","11:00:00",5613.6,"1 Mar 18 5675 C STO 2.05 | 1 Mar 18 5685 C BTO 1.35",70,5614.66,"2025-03-18","16:00:00",0,"Expired",70,1,20752,930,"",1.52,1,21.97,21.8,-20.59,-40.93,100,0
"2025-03-17","11:00:00",5646.32,"1 Mar 17 5695 C STO 1.65 | 1 Mar 17 5705 C BTO 0.90",75,5675.12,"2025-03-17","16:00:00",0,"Expired",75,1,20682,925,"",1.83,1,21.19,20.49,-3.34,10.72,100,-720
"2025-03-14","11:00:00",5609.21,"1 Mar 14 5660 C STO 2.05 | 1 Mar 14 5670 C BTO 1.20",85,5638.94,"2025-03-14","16:00:00",0,"Expired",85,1,20607,915,"",1.71,1,22.39,21.71,42.33,45.36,100,-94.12
"2025-03-13","11:00:00",5568.72,"1 Mar 13 5640 C STO 2.45 | 1 Mar 13 5650 C BTO 1.70",75,5521.52,"2025-03-13","16:00:00",0,"Expired",75,1,20522,925,"",1.44,1,23.92,24.91,-4.85,-25.73,100,-20
"2025-03-12","11:00:00",5563.44,"1 Mar 12 5645 C STO 3.20 | 1 Mar 12 5655 C BTO 2.45",75,5599.3,"2025-03-12","16:00:00",0,"Expired",75,1,20447,925,"",1.31,1,26.24,23.99,52.77,-61.4,100,-240
"2025-03-11","11:00:00",5555.61,"1 Mar 11 5650 C STO 3.05 | 1 Mar 11 5660 C BTO 2.35",70,5572.07,"2025-03-11","16:00:00",0,"Expired",70,1,20372,930,"",1.3,1,29.07,27.19,-10.91,-48.04,100,-285.71
"2025-03-10","11:00:00",5647.33,"1 Mar 10 5745 C STO 3.65 | 1 Mar 10 5755 C BTO 3.00",65,5614.56,"2025-03-10","16:00:00",0,"Expired",65,1,20302,935,"",1.22,1,26.83,27.8,-64.83,-58.04,100,-53.85
"2025-03-07","11:00:00",5718.39,"1 Mar 7 5815 C STO 3.25 | 1 Mar 7 5825 C BTO 2.50",75,5770.2,"2025-03-07","16:00:00",0,"Expired",75,1,20237,925,"",1.3,1,24.82,23.26,-12.51,-7.62,100,-146.67
"2025-03-06","11:00:00",5798.13,"1 Mar 6 5875 C STO 3.25 | 1 Mar 6 5885 C BTO 2.30",95,5738.52,"2025-03-06","16:00:00",0,"Expired",95,1,20162,905,"",1.41,1,23.48,25.1,-56.76,12.26,100,-36.84
"2025-03-05","11:00:00",5781.09,"1 Mar 5 5865 C STO 2.85 | 1 Mar 5 5875 C BTO 2.05",80,5842.63,"2025-03-05","16:00:00",0,"Expired",80,1,20067,920,"",1.39,1,23.28,21.78,3.21,-0.27,100,-356.25
"2025-03-04","11:00:00",5751.26,"1 Mar 4 5830 C STO 2.85 | 1 Mar 4 5840 C BTO 2.15",70,5778.15,"2025-03-04","16:00:00",0,"Expired",70,1,19987,930,"",1.33,1,25.14,23.85,-37.74,-60.72,100,-1121.43
"2025-03-03","11:00:00",5936.41,"1 Mar 3 5990 C STO 2.35 | 1 Mar 3 6000 C BTO 1.50",85,5849.72,"2025-03-03","16:00:00",0,"Expired",85,1,19917,915,"",1.57,1,20.46,22.82,13.83,-31.92,100,-88.24
"2025-02-28","11:00:00",5901.34,"1 Feb 28 5950 C STO 1.95 | 1 Feb 28 5960 C BTO 1.10",85,5954.5,"2025-02-28","16:00:00",450,"Expired",-365,1,19832,915,"",1.77,55,19.92,19.23,-4.83,44.6,94.12,-652.94
"2025-02-27","11:00:00",5947.7,"1 Feb 27 6000 C STO 1.80 | 1 Feb 27 6010 C BTO 1.00",80,5861.57,"2025-02-27","16:00:00",0,"Expired",80,1,20197,920,"",1.8,1,19.11,21.1,25.82,-34.18,100,-168.75
"2025-02-26","11:00:00",6002.16,"1 Feb 26 6035 C STO 1.30 | 1 Feb 26 6045 C BTO 0.55",75,5956.06,"2025-02-26","16:00:00",0,"Expired",75,1,20117,925,"",2.36,1,18.09,19.09,15.62,31.29,100,-53.33
"2025-02-25","11:00:00",5936.47,"1 Feb 25 5985 C STO 1.80 | 1 Feb 25 5995 C BTO 1.10",70,5955.25,"2025-02-25","16:00:00",0,"Expired",70,1,20042,930,"",1.64,1,20.24,19.59,-0.52,-46.26,100,-321.43
