book,fold,train_EDP,test_EDP,train_PF,test_PF,test_CVaR95,stability_index,leak_score
CALLS_0DTE_11,1,925.0,,9999.0,,,0.47709472476755105,
CALLS_0DTE_11,2,790.0,,9999.0,,,0.47709472476755105,
CALLS_0DTE_11,3,816.6666666666666,410.0,9999.0,9999.0,410.0,0.47709472476755105,0.991869918699187
CALLS_0DTE_11,4,802.5,,9999.0,,,0.47709472476755105,
CALLS_0DTE_11,5,661.0,536.6666666666666,9999.0,9999.0,470.0,0.47709472476755105,0.23167701863354045
CALLS_0DTE_11,6,756.0,,9999.0,,,0.47709472476755105,
CALLS_0DTE_11,7,785.8333333333334,997.5,9999.0,9999.0,665.0,0.47709472476755105,0.21219715956558058
CALLS_0DTE_11,8,909.2857142857143,,9999.0,,,0.47709472476755105,
CALLS_1DTE_1515,1,490.0,,9999.0,,,2.5694866133257643,
CALLS_1DTE_1515,2,482.5,,9999.0,,,2.5694866133257643,
CALLS_1DTE_1515,3,468.3333333333333,,9999.0,,,2.5694866133257643,
CALLS_1DTE_1515,4,473.75,500.0,9999.0,9999.0,500.0,2.5694866133257643,0.0525
CALLS_1DTE_1515,5,296.4,,10.439490445859873,,,2.5694866133257643,
CALLS_1DTE_1515,6,-105.2,,0.5332741792369121,,,2.5694866133257643,
CALLS_1DTE_1515,7,75.16666666666667,-145.0,1.628133704735376,0.5421052631578948,-485.0,2.5694866133257643,1.5183908045977013
CALLS_1DTE_1515,8,166.85714285714286,,2.544973544973545,,,2.5694866133257643,
PUTS_0DTE_11,1,350.0,,9999.0,,,0.09156878717225536,
PUTS_0DTE_11,2,357.5,,9999.0,,,0.09156878717225536,
PUTS_0DTE_11,3,5211.666666666667,,9999.0,,,0.09156878717225536,
PUTS_0DTE_11,4,393.75,,9999.0,,,0.09156878717225536,
PUTS_0DTE_11,5,404.0,365.0,9999.0,9999.0,365.0,0.09156878717225536,0.10684931506849316
PUTS_0DTE_11,6,415.0,342.5,9999.0,9999.0,300.0,0.09156878717225536,0.2116788321167883
PUTS_0DTE_11,7,436.6666666666667,395.0,9999.0,9999.0,395.0,0.09156878717225536,0.10548523206751059
PUTS_0DTE_11,8,431.42857142857144,422.5,9999.0,9999.0,395.0,0.09156878717225536,0.021132713440405786
PUTS_1DTE_1515,1,467.5,,9999.0,,,,
PUTS_1DTE_1515,2,-52.5,,0.8018867924528302,,,,
PUTS_1DTE_1515,3,178.0,,2.5213675213675213,,,,
PUTS_1DTE_1515,4,440.0,,9999.0,,,,
PUTS_1DTE_1515,5,271.6,,9999.0,,,,
PUTS_1DTE_1515,6,340.2,,9999.0,,,,
PUTS_1DTE_1515,7,324.3333333333333,,9999.0,,,,
PUTS_1DTE_1515,8,301.0,390.0,29.863013698630137,9999.0,390.0,,0.2282051282051282
