book,open_date,pnl,pnl_winsor,prediction
CALLS_1DTE_1515,2022-09-26,495.0,495.0,-537.5466115040375
CALLS_1DTE_1515,2022-09-27,-500.0,-500.0,-531.8917717535876
CALLS_1DTE_1515,2022-09-28,495.0,495.0,-517.864270136453
CALLS_1DTE_1515,2022-09-29,495.0,495.0,-510.5135469564467
CALLS_1DTE_1515,2022-09-30,-505.0,-505.0,-540.8333769566235
CALLS_1DTE_1515,2022-10-03,-520.0,-520.0,-519.9885900423031
CALLS_1DTE_1515,2022-10-04,-348.0,-348.0,-519.4426636052957
CALLS_1DTE_1515,2022-10-05,495.0,495.0,-518.7500943605918
CALLS_1DTE_1515,2022-10-06,505.0,505.0,-534.4509468945641
CALLS_1DTE_1515,2022-10-07,485.0,485.0,-510.5135469564467
CALLS_1DTE_1515,2022-10-10,460.0,460.0,-514.9228890630701
CALLS_1DTE_1515,2022-10-11,292.0,292.0,-545.1113665904613
CALLS_1DTE_1515,2022-10-12,-520.0,-520.0,-534.0208328148121
CALLS_1DTE_1515,2022-10-13,490.0,490.0,-524.2543877391112
CALLS_1DTE_1515,2022-10-14,-515.0,-515.0,-514.4933971041168
CALLS_1DTE_1515,2022-10-17,-505.0,-505.0,-520.7728457980426
CALLS_1DTE_1515,2022-10-18,480.0,480.0,-520.6357673129052
CALLS_1DTE_1515,2022-10-19,475.0,475.0,-536.4624750869269
CALLS_1DTE_1515,2022-10-20,-550.0,-550.0,-549.957962439877
CALLS_1DTE_1515,2022-10-21,-525.0,-525.0,-530.7622468867535
CALLS_1DTE_1515,2022-10-24,-540.0,-540.0,-540.0065319567423
CALLS_1DTE_1515,2022-10-25,480.0,480.0,-521.9371867159125
CALLS_1DTE_1515,2022-10-26,465.0,465.0,-535.8513592988876
CALLS_1DTE_1515,2022-10-27,-540.0,-540.0,-540.0079726090302
CALLS_1DTE_1515,2022-10-28,485.0,485.0,-522.2526466792162
CALLS_1DTE_1515,2022-10-31,460.0,460.0,-543.7883601579257
CALLS_1DTE_1515,2022-11-01,480.0,480.0,-514.365111475258
CALLS_1DTE_1515,2022-11-02,480.0,480.0,-528.8649930631993
CALLS_1DTE_1515,2022-11-03,-535.0,-535.0,-540.7638102426192
CALLS_1DTE_1515,2022-11-04,-480.0,-480.0,-534.2256988692427
CALLS_1DTE_1515,2022-11-07,-545.0,-545.0,-545.0261747074903
CALLS_1DTE_1515,2022-11-08,460.0,460.0,-541.1883761227972
CALLS_1DTE_1515,2022-11-09,-520.0,-520.0,-519.9777920205102
CALLS_1DTE_1515,2022-11-10,-505.0,-505.0,-520.155422400116
CALLS_1DTE_1515,2022-11-11,495.0,495.0,-535.4046878643836
