book,open_date,pnl,DoW,Intraday_Move_OpenToEntry_11,Intraday_Move_OpenToEntry_1515,L1_SPX_ATR_Pct,L1_SPX_Drawdown_Pct,L1_TS,L1_VIX_Close,L1_VIX_pct,L1_rv20,L1_rv5,L1_vvix_above_ema20,L1_vvix_above_ema30,L1_vvix_close,L1_vvix_ema20,L1_vvix_ema30,L1_vvix_pct,VIX_Entry_11,VIX_Entry_1515,closing_vix,gap,movement,opening_vix,t0_VIX_change_from_close_11,t0_VIX_change_from_close_15
PUTS_1DTE_1515,2024-08-08,415.0,nan,44.31,64.71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.7,24.35,nan,53.07,64.71,nan,nan,nan
PUTS_1DTE_1515,2024-08-09,369.0,nan,14.78,26.69,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.46,20.84,nan,-4.65,26.69,nan,nan,nan
PUTS_1DTE_1515,2024-08-12,400.0,nan,14.27,-11.87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.09,20.5,nan,7.72,-11.87,nan,nan,nan
PUTS_1DTE_1515,2024-08-13,410.0,nan,20.73,47.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.45,18.25,nan,32.59,47.05,nan,nan,nan
PUTS_1DTE_1515,2024-08-14,425.0,nan,-4.7,2.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.85,16.53,nan,7.93,2.1,nan,nan,nan
PUTS_1DTE_1515,2024-08-15,370.0,nan,20.75,40.51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.01,15.46,nan,45.92,40.51,nan,nan,nan
PUTS_1DTE_1515,2024-08-16,425.0,nan,3.76,25.94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.09,14.74,nan,-12.72,25.94,nan,nan,nan
PUTS_1DTE_1515,2024-08-19,370.0,nan,19.77,34.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14.7,14.72,nan,2.98,34.82,nan,nan,nan
PUTS_1DTE_1515,2024-08-20,390.0,nan,-7.23,-1.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.4,15.57,nan,-5.37,-1.6,nan,nan,nan
PUTS_1DTE_1515,2024-08-21,-570.0,nan,0.97,9.13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.64,16.47,nan,5.97,9.13,nan,nan,nan
PUTS_1DTE_1515,2024-08-22,450.0,nan,-21.56,-59.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.72,17.39,nan,16.92,-59.29,nan,nan,nan
PUTS_1DTE_1515,2024-08-23,-570.0,nan,13.93,24.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.5,15.85,nan,31.85,24.47,nan,nan,nan
PUTS_1DTE_1515,2024-08-26,430.0,nan,-17.26,-21.89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.4,15.9,nan,5.05,-21.89,nan,nan,nan
PUTS_1DTE_1515,2024-08-27,-600.0,nan,24.36,22.29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.84,15.5,nan,-13.95,22.29,nan,nan,nan
PUTS_1DTE_1515,2024-08-28,460.0,nan,-17.72,-39.47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.94,17.24,nan,-1.29,-39.47,nan,nan,nan
PUTS_1DTE_1515,2024-08-29,410.0,nan,23.85,-16.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.41,16.18,nan,15.12,-16.98,nan,nan,nan
PUTS_1DTE_1515,2024-08-30,-540.0,nan,-3.14,2.07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.45,15.11,nan,20.78,2.07,nan,nan,nan
PUTS_1DTE_1515,2024-09-03,-515.0,nan,-62.28,-87.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.54,20.05,nan,-24.51,-87.32,nan,nan,nan
PUTS_1DTE_1515,2024-09-04,261.0,nan,41.64,-1.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.63,21.97,nan,-22.25,-1.22,nan,nan,nan
PUTS_1DTE_1515,2024-09-05,-540.0,nan,-7.89,-16.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.05,20.04,nan,0.01,-16.73,nan,nan,nan
PUTS_1DTE_1515,2024-09-06,475.0,nan,-78.18,-88.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22.64,22.06,nan,3.92,-88.4,nan,nan,nan
PUTS_1DTE_1515,2024-09-09,400.0,nan,-2.32,13.68,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.93,19.93,nan,33.65,13.68,nan,nan,nan
PUTS_1DTE_1515,2024-09-10,445.0,nan,-18.7,0.64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19.72,18.95,nan,19.46,0.64,nan,nan,nan
PUTS_1DTE_1515,2024-09-11,415.0,nan,-78.17,34.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20.85,17.95,nan,0.9,34.02,nan,nan,nan
PUTS_1DTE_1515,2024-09-12,420.0,nan,-4.98,35.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.91,16.99,nan,3.35,35.9,nan,nan,nan
PUTS_1DTE_1515,2024-09-13,410.0,nan,21.46,17.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16.42,16.52,nan,7.58,17.35,nan,nan,nan
PUTS_1DTE_1515,2024-09-16,440.0,nan,-2.82,10.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17.55,17.05,nan,-10.81,10.91,nan,nan,nan
