book,open_date,pnl,pnl_winsor,prediction
PUTS_1DTE_1515,2022-09-26,-550.0,-550.0,-555.4051467286954
PUTS_1DTE_1515,2022-09-27,440.0,440.0,-558.723312719753
PUTS_1DTE_1515,2022-09-28,-550.0,-550.0,-549.9756682670877
PUTS_1DTE_1515,2022-09-29,-550.0,-550.0,-568.2296295992128
PUTS_1DTE_1515,2022-09-30,460.0,460.0,-554.688590570468
PUTS_1DTE_1515,2022-10-03,450.0,450.0,-567.2745179342844
PUTS_1DTE_1515,2022-10-04,450.0,450.0,-570.6396982300688
PUTS_1DTE_1515,2022-10-05,-565.0,-565.0,-565.0024195507667
PUTS_1DTE_1515,2022-10-06,-550.0,-550.0,-558.1160705127891
PUTS_1DTE_1515,2022-10-07,-535.0,-535.0,-557.9560495145256
PUTS_1DTE_1515,2022-10-10,-540.0,-540.0,-561.2020547888537
PUTS_1DTE_1515,2022-10-11,455.0,455.0,-554.9224009229332
PUTS_1DTE_1515,2022-10-12,490.0,480.0,-563.2839708123731
PUTS_1DTE_1515,2022-10-13,-540.0,-540.0,-559.289774387096
PUTS_1DTE_1515,2022-10-14,460.0,460.0,-552.5207174027199
PUTS_1DTE_1515,2022-10-17,435.0,435.0,-572.4488867655001
PUTS_1DTE_1515,2022-10-18,-34.0,-34.0,-567.8742841984551
PUTS_1DTE_1515,2022-10-19,-535.0,-535.0,-559.6062312959278
PUTS_1DTE_1515,2022-10-20,475.0,475.0,-557.3137381721195
PUTS_1DTE_1515,2022-10-21,460.0,460.0,-556.7065409958767
PUTS_1DTE_1515,2022-10-24,470.0,470.0,-555.834803841876
PUTS_1DTE_1515,2022-10-25,-550.0,-550.0,-550.1584261949931
PUTS_1DTE_1515,2022-10-26,-540.0,-540.0,-556.3134375685348
PUTS_1DTE_1515,2022-10-27,480.0,480.0,-563.1068475861553
PUTS_1DTE_1515,2022-10-28,-550.0,-550.0,-551.3869783515909
PUTS_1DTE_1515,2022-10-31,-545.0,-545.0,-551.1580528883192
PUTS_1DTE_1515,2022-11-01,-530.0,-530.0,-554.9845345557994
PUTS_1DTE_1515,2022-11-02,-530.0,-530.0,-557.9365840593973
PUTS_1DTE_1515,2022-11-03,485.0,480.0,-561.9146294867362
PUTS_1DTE_1515,2022-11-04,410.0,410.0,-572.3880879316029
PUTS_1DTE_1515,2022-11-07,455.0,455.0,-562.2854846854245
PUTS_1DTE_1515,2022-11-08,-545.0,-545.0,-559.9292177657494
PUTS_1DTE_1515,2022-11-09,490.0,480.0,-556.0442431367096
PUTS_1DTE_1515,2022-11-10,435.0,435.0,-576.0801654149019
PUTS_1DTE_1515,2022-11-11,-560.0,-560.0,-562.803716217353
PUTS_1DTE_1515,2022-11-14,440.0,440.0,-558.1971822922831
PUTS_1DTE_1515,2022-11-15,-570.0,-570.0,-570.4397263322063
PUTS_1DTE_1515,2022-11-16,-560.0,-560.0,-560.0351269425329
PUTS_1DTE_1515,2022-11-17,460.0,460.0,-555.877790520014
PUTS_1DTE_1515,2022-11-18,-550.0,-550.0,-571.6131600981498
PUTS_1DTE_1515,2022-11-21,460.0,460.0,-559.7650018224253
PUTS_1DTE_1515,2022-11-22,430.0,430.0,-568.4756231491106
PUTS_1DTE_1515,2022-11-23,17.0,17.0,-574.668166879215
PUTS_1DTE_1515,2022-11-28,198.0,198.0,-557.3825361507363
PUTS_1DTE_1515,2022-11-29,460.0,460.0,-561.5618200089486
PUTS_1DTE_1515,2022-11-30,420.0,420.0,-574.9416193969994
PUTS_1DTE_1515,2022-12-01,-360.0,-360.0,-572.5832666143176
PUTS_1DTE_1515,2022-12-02,-550.0,-550.0,-572.8274167198384
PUTS_1DTE_1515,2022-12-05,-580.0,-580.0,-578.0609954393868
PUTS_1DTE_1515,2022-12-06,475.0,475.0,-550.5170376253118
PUTS_1DTE_1515,2022-12-07,440.0,440.0,-562.5162154687621
PUTS_1DTE_1515,2022-12-08,-575.0,-575.0,-575.0000221953844
PUTS_1DTE_1515,2022-12-09,450.0,450.0,-563.7845313708743
PUTS_1DTE_1515,2022-12-12,470.0,470.0,-557.4785327538382
PUTS_1DTE_1515,2022-12-13,-488.0,-488.0,-568.6340026052557
PUTS_1DTE_1515,2022-12-14,-525.0,-525.0,-561.8784098600067
PUTS_1DTE_1515,2022-12-15,-545.0,-545.0,-566.0976580605861
PUTS_1DTE_1515,2022-12-16,-530.0,-530.0,-562.4693057015086
PUTS_1DTE_1515,2022-12-19,425.0,425.0,-556.4230362277116
PUTS_1DTE_1515,2022-12-20,415.0,415.0,-562.2642266792942
PUTS_1DTE_1515,2022-12-21,-555.0,-555.0,-584.4024980690856
PUTS_1DTE_1515,2022-12-22,420.0,420.0,-557.8990986982238
PUTS_1DTE_1515,2022-12-23,-580.0,-580.0,-579.9786650115485
PUTS_1DTE_1515,2022-12-27,-560.0,-560.0,-560.0197944620614
PUTS_1DTE_1515,2022-12-28,435.0,435.0,-554.7630393571562
PUTS_1DTE_1515,2022-12-29,-550.0,-550.0,-570.5177671499044
PUTS_1DTE_1515,2022-12-30,440.0,440.0,-558.4592479548863
PUTS_1DTE_1515,2023-01-03,455.0,455.0,-569.641533034568
