book,open_date,pnl,pnl_winsor,prediction
PUTS_1DTE_1515,2022-09-26,-550.0,-550.0,-554.6849086386188
PUTS_1DTE_1515,2022-09-27,440.0,440.0,-554.2554679543572
PUTS_1DTE_1515,2022-09-28,-550.0,-550.0,-553.1358608774287
PUTS_1DTE_1515,2022-09-29,-550.0,-550.0,-548.9244782111329
PUTS_1DTE_1515,2022-09-30,460.0,460.0,-547.1427564475581
PUTS_1DTE_1515,2022-10-03,450.0,450.0,-563.0643766277359
PUTS_1DTE_1515,2022-10-04,450.0,450.0,-563.3571744140628
PUTS_1DTE_1515,2022-10-05,-565.0,-565.0,-564.8756156714085
PUTS_1DTE_1515,2022-10-06,-550.0,-550.0,-559.6651642680159
PUTS_1DTE_1515,2022-10-07,-535.0,-535.0,-555.4080118669137
PUTS_1DTE_1515,2022-10-10,-540.0,-540.0,-559.6513027050337
PUTS_1DTE_1515,2022-10-11,455.0,455.0,-555.7733167206316
PUTS_1DTE_1515,2022-10-12,490.0,480.0,-561.5956196208227
PUTS_1DTE_1515,2022-10-13,-540.0,-540.0,-553.8844745201052
PUTS_1DTE_1515,2022-10-14,460.0,460.0,-545.0834912658123
PUTS_1DTE_1515,2022-10-17,435.0,435.0,-556.2791703842299
PUTS_1DTE_1515,2022-10-18,-34.0,-34.0,-558.8697588858477
PUTS_1DTE_1515,2022-10-19,-535.0,-535.0,-559.5526946637195
PUTS_1DTE_1515,2022-10-20,475.0,475.0,-553.5673009761009
PUTS_1DTE_1515,2022-10-21,460.0,460.0,-555.0964016706455
PUTS_1DTE_1515,2022-10-24,470.0,470.0,-548.7134732048398
PUTS_1DTE_1515,2022-10-25,-550.0,-550.0,-556.0817756726599
PUTS_1DTE_1515,2022-10-26,-540.0,-540.0,-556.4295155587869
PUTS_1DTE_1515,2022-10-27,480.0,480.0,-562.6154890247174
PUTS_1DTE_1515,2022-10-28,-550.0,-550.0,-555.9444852391546
PUTS_1DTE_1515,2022-10-31,-545.0,-545.0,-552.38861192404
PUTS_1DTE_1515,2022-11-01,-530.0,-530.0,-550.5757577941449
PUTS_1DTE_1515,2022-11-02,-530.0,-530.0,-562.410606969642
PUTS_1DTE_1515,2022-11-03,485.0,480.0,-561.967238178178
PUTS_1DTE_1515,2022-11-04,410.0,410.0,-559.0664345690483
PUTS_1DTE_1515,2022-11-07,455.0,455.0,-566.3422189337065
PUTS_1DTE_1515,2022-11-08,-545.0,-545.0,-560.1483462908265
PUTS_1DTE_1515,2022-11-09,490.0,480.0,-559.5065851002178
PUTS_1DTE_1515,2022-11-10,435.0,435.0,-569.0244939772329
PUTS_1DTE_1515,2022-11-11,-560.0,-560.0,-560.0397941622899
PUTS_1DTE_1515,2022-11-14,440.0,440.0,-563.0523826888182
PUTS_1DTE_1515,2022-11-15,-570.0,-570.0,-569.8292806746023
PUTS_1DTE_1515,2022-11-16,-560.0,-560.0,-560.0934360052834
PUTS_1DTE_1515,2022-11-17,460.0,460.0,-558.4540955695562
PUTS_1DTE_1515,2022-11-18,-550.0,-550.0,-561.0561060243296
PUTS_1DTE_1515,2022-11-21,460.0,460.0,-556.920087984413
PUTS_1DTE_1515,2022-11-22,430.0,430.0,-561.8123181259785
PUTS_1DTE_1515,2022-11-23,17.0,17.0,-562.0992821845516
PUTS_1DTE_1515,2022-11-28,198.0,198.0,-557.9417708163255
PUTS_1DTE_1515,2022-11-29,460.0,460.0,-561.1546710312646
PUTS_1DTE_1515,2022-11-30,420.0,420.0,-558.8269068449147
PUTS_1DTE_1515,2022-12-01,-360.0,-360.0,-571.2229863217544
PUTS_1DTE_1515,2022-12-02,-550.0,-550.0,-560.6473905301946
PUTS_1DTE_1515,2022-12-05,-580.0,-580.0,-580.0029764315557
PUTS_1DTE_1515,2022-12-06,475.0,475.0,-559.4143459888738
PUTS_1DTE_1515,2022-12-07,440.0,440.0,-552.5046142264806
PUTS_1DTE_1515,2022-12-08,-575.0,-575.0,-575.040693500452
PUTS_1DTE_1515,2022-12-09,450.0,450.0,-557.7737257859281
PUTS_1DTE_1515,2022-12-12,470.0,470.0,-548.8499488019892
PUTS_1DTE_1515,2022-12-13,-488.0,-488.0,-557.5420964254681
PUTS_1DTE_1515,2022-12-14,-525.0,-525.0,-560.9700024731839
PUTS_1DTE_1515,2022-12-15,-545.0,-545.0,-548.9279660380997
PUTS_1DTE_1515,2022-12-16,-530.0,-530.0,-558.8411532822083
PUTS_1DTE_1515,2022-12-19,425.0,425.0,-558.2426157708907
PUTS_1DTE_1515,2022-12-20,415.0,415.0,-555.3878985389053
PUTS_1DTE_1515,2022-12-21,-555.0,-555.0,-564.4097279430943
PUTS_1DTE_1515,2022-12-22,420.0,420.0,-555.8791478824709
PUTS_1DTE_1515,2022-12-23,-580.0,-580.0,-580.3005593387328
PUTS_1DTE_1515,2022-12-27,-560.0,-560.0,-559.5874250161708
PUTS_1DTE_1515,2022-12-28,435.0,435.0,-557.3994218245145
PUTS_1DTE_1515,2022-12-29,-550.0,-550.0,-565.8566318444699
PUTS_1DTE_1515,2022-12-30,440.0,440.0,-551.7237143459506
PUTS_1DTE_1515,2023-01-03,455.0,455.0,-560.5013227048166
PUTS_1DTE_1515,2023-01-04,-565.0,-565.0,-571.4307683333103
PUTS_1DTE_1515,2023-01-05,470.0,470.0,-562.1845596708464
PUTS_1DTE_1515,2023-01-06,-565.0,-565.0,-572.818711042263
PUTS_1DTE_1515,2023-01-09,470.0,470.0,-571.8485325923635
PUTS_1DTE_1515,2023-01-10,435.0,435.0,-577.2351094078972
PUTS_1DTE_1515,2023-01-11,455.0,455.0,-578.1212783480489
PUTS_1DTE_1515,2023-01-12,450.0,450.0,-569.3890602427163
PUTS_1DTE_1515,2023-01-13,405.0,405.0,-577.9467740961715
PUTS_1DTE_1515,2023-01-17,-570.0,-570.0,-582.4375533425276
PUTS_1DTE_1515,2023-01-18,-580.0,-580.0,-580.0199213454288
PUTS_1DTE_1515,2023-01-19,430.0,430.0,-586.8569019481075
PUTS_1DTE_1515,2023-01-20,460.0,460.0,-560.7982846625092
PUTS_1DTE_1515,2023-01-23,460.0,460.0,-552.9880242012604
PUTS_1DTE_1515,2023-01-24,67.0,67.0,-574.4746141889601
PUTS_1DTE_1515,2023-01-25,440.0,440.0,-570.5465762372647
PUTS_1DTE_1515,2023-01-26,440.0,440.0,-583.530086122379
