book,open_date,pnl,pnl_winsor,prediction
CALLS_1DTE_1515,2022-09-26,495.0,495.0,-539.9368408441327
CALLS_1DTE_1515,2022-09-27,-500.0,-500.0,-506.55918697816236
CALLS_1DTE_1515,2022-09-28,495.0,495.0,-530.1591773318447
CALLS_1DTE_1515,2022-09-29,495.0,495.0,-515.162313926958
CALLS_1DTE_1515,2022-09-30,-505.0,-505.0,-542.3336362831441
CALLS_1DTE_1515,2022-10-03,-520.0,-520.0,-519.0042232979423
CALLS_1DTE_1515,2022-10-04,-348.0,-348.0,-503.71042720166736
CALLS_1DTE_1515,2022-10-05,495.0,495.0,-523.3611686982925
CALLS_1DTE_1515,2022-10-06,505.0,505.0,-532.4012782935714
CALLS_1DTE_1515,2022-10-07,485.0,485.0,-518.382872914957
CALLS_1DTE_1515,2022-10-10,460.0,460.0,-535.0064579174066
CALLS_1DTE_1515,2022-10-11,292.0,292.0,-539.9993897700746
CALLS_1DTE_1515,2022-10-12,-520.0,-520.0,-535.0102146822082
CALLS_1DTE_1515,2022-10-13,490.0,490.0,-518.4109284320584
CALLS_1DTE_1515,2022-10-14,-515.0,-515.0,-522.7280016733692
CALLS_1DTE_1515,2022-10-17,-505.0,-505.0,-518.5945970846401
CALLS_1DTE_1515,2022-10-18,480.0,480.0,-511.96987615066956
CALLS_1DTE_1515,2022-10-19,475.0,475.0,-530.0093895263786
CALLS_1DTE_1515,2022-10-20,-550.0,-550.0,-550.0205808127636
CALLS_1DTE_1515,2022-10-21,-525.0,-525.0,-527.6456500881936
CALLS_1DTE_1515,2022-10-24,-540.0,-540.0,-542.5779585821588
CALLS_1DTE_1515,2022-10-25,480.0,480.0,-512.2092036988369
CALLS_1DTE_1515,2022-10-26,465.0,465.0,-530.4017485616656
CALLS_1DTE_1515,2022-10-27,-540.0,-540.0,-540.4886978217655
CALLS_1DTE_1515,2022-10-28,485.0,485.0,-515.3504648906041
CALLS_1DTE_1515,2022-10-31,460.0,460.0,-530.7466080790136
CALLS_1DTE_1515,2022-11-01,480.0,480.0,-512.4693070065208
CALLS_1DTE_1515,2022-11-02,480.0,480.0,-529.144527072846
CALLS_1DTE_1515,2022-11-03,-535.0,-535.0,-536.098475137521
CALLS_1DTE_1515,2022-11-04,-480.0,-480.0,-517.1003798503082
CALLS_1DTE_1515,2022-11-07,-545.0,-545.0,-545.2521424482421
CALLS_1DTE_1515,2022-11-08,460.0,460.0,-528.3847084990374
CALLS_1DTE_1515,2022-11-09,-520.0,-520.0,-519.9817970677699
CALLS_1DTE_1515,2022-11-10,-505.0,-505.0,-512.5457885019414
CALLS_1DTE_1515,2022-11-11,495.0,495.0,-535.4645137709608
CALLS_1DTE_1515,2022-11-14,-193.0,-193.0,-537.2119268015513
CALLS_1DTE_1515,2022-11-15,510.0,510.0,-506.8903026951692
CALLS_1DTE_1515,2022-11-16,475.0,475.0,-539.5218697287361
CALLS_1DTE_1515,2022-11-17,-540.0,-540.0,-540.328175642985
CALLS_1DTE_1515,2022-11-18,475.0,475.0,-537.6361834928908
CALLS_1DTE_1515,2022-11-21,-560.0,-560.0,-560.1414002697176
CALLS_1DTE_1515,2022-11-22,-545.0,-545.0,-545.1232749974079
CALLS_1DTE_1515,2022-11-23,460.0,460.0,-522.495265234594
CALLS_1DTE_1515,2022-11-28,465.0,465.0,-531.9917584772737
CALLS_1DTE_1515,2022-11-29,-510.0,-510.0,-524.442169125066
CALLS_1DTE_1515,2022-11-30,-500.0,-500.0,-545.602047552126
CALLS_1DTE_1515,2022-12-01,470.0,470.0,-532.743094819515
CALLS_1DTE_1515,2022-12-02,450.0,450.0,-533.5035994584971
CALLS_1DTE_1515,2022-12-05,490.0,490.0,-527.975895042182
CALLS_1DTE_1515,2022-12-06,48.0,48.0,-516.730459545907
CALLS_1DTE_1515,2022-12-07,-530.0,-530.0,-548.3857807843668
CALLS_1DTE_1515,2022-12-08,485.0,485.0,-540.6560220274781
CALLS_1DTE_1515,2022-12-09,-555.0,-555.0,-554.9143697106801
CALLS_1DTE_1515,2022-12-12,-500.0,-500.0,-537.1753519649004
CALLS_1DTE_1515,2022-12-13,485.0,485.0,-508.8551127042631
CALLS_1DTE_1515,2022-12-14,470.0,470.0,-536.0765429084288
CALLS_1DTE_1515,2022-12-15,470.0,470.0,-520.7523959299045
CALLS_1DTE_1515,2022-12-16,450.0,450.0,-518.8389636092342
CALLS_1DTE_1515,2022-12-19,-520.0,-520.0,-524.5663375756287
CALLS_1DTE_1515,2022-12-20,-505.0,-505.0,-527.6672696860287
CALLS_1DTE_1515,2022-12-21,450.0,450.0,-511.8794348529284
CALLS_1DTE_1515,2022-12-22,-505.0,-505.0,-519.1404096673402
CALLS_1DTE_1515,2022-12-23,485.0,485.0,-539.39656545177
CALLS_1DTE_1515,2022-12-27,450.0,450.0,-544.0327351972214
CALLS_1DTE_1515,2022-12-28,-520.0,-520.0,-521.6353834976105
CALLS_1DTE_1515,2022-12-29,460.0,460.0,-515.5355032507176
CALLS_1DTE_1515,2022-12-30,71.0,71.0,-541.8115605146221
CALLS_1DTE_1515,2023-01-03,-530.0,-530.0,-530.0510096012587
CALLS_1DTE_1515,2023-01-04,470.0,470.0,-544.5066277980039
CALLS_1DTE_1515,2023-01-05,-515.0,-515.0,-522.4198166540524
CALLS_1DTE_1515,2023-01-06,465.0,465.0,-518.8820299072088
CALLS_1DTE_1515,2023-01-09,-560.0,-560.0,-556.701968486695
CALLS_1DTE_1515,2023-01-10,-545.0,-545.0,-545.0455239353598
CALLS_1DTE_1515,2023-01-11,-490.0,-490.0,-530.6659718039685
CALLS_1DTE_1515,2023-01-12,-545.0,-545.0,-545.0194179226278
CALLS_1DTE_1515,2023-01-13,383.0,383.0,-518.3206816003694
CALLS_1DTE_1515,2023-01-17,470.0,470.0,-528.3531196863805
CALLS_1DTE_1515,2023-01-18,485.0,485.0,-511.6506868080846
CALLS_1DTE_1515,2023-01-19,-540.0,-540.0,-541.7360024332386
CALLS_1DTE_1515,2023-01-20,-555.0,-555.0,-555.111742696764
CALLS_1DTE_1515,2023-01-23,250.0,250.0,-511.56100082357955
CALLS_1DTE_1515,2023-01-24,450.0,450.0,-521.741445364976
CALLS_1DTE_1515,2023-01-25,-520.0,-520.0,-529.9600413479158
CALLS_1DTE_1515,2023-01-26,-540.0,-540.0,-539.8220749682297
CALLS_1DTE_1515,2023-01-27,435.0,435.0,-535.5174155040966
CALLS_1DTE_1515,2023-01-30,-565.0,-565.0,-564.357484095159
CALLS_1DTE_1515,2023-01-31,-515.0,-515.0,-514.9425664614603
CALLS_1DTE_1515,2023-02-01,-515.0,-515.0,-538.2487776845105
CALLS_1DTE_1515,2023-02-02,475.0,475.0,-515.7044545504243
CALLS_1DTE_1515,2023-02-03,480.0,480.0,-532.6154315681315
CALLS_1DTE_1515,2023-02-06,-510.0,-510.0,-533.0129193104902
CALLS_1DTE_1515,2023-02-07,465.0,465.0,-536.5779124436148
CALLS_1DTE_1515,2023-02-08,450.0,450.0,-517.128496744951
CALLS_1DTE_1515,2023-02-09,-66.0,-66.0,-501.10776121717504
CALLS_1DTE_1515,2023-02-10,-540.0,-540.0,-540.0421318946138
CALLS_1DTE_1515,2023-02-13,-485.0,-485.0,-508.79280790259946
CALLS_1DTE_1515,2023-02-14,-315.0,-315.0,-536.8669079709696
CALLS_1DTE_1515,2023-02-15,450.0,450.0,-526.4136699520537
CALLS_1DTE_1515,2023-02-16,465.0,465.0,-532.3609042065135
CALLS_1DTE_1515,2023-02-17,510.0,510.0,-540.0626364568709
CALLS_1DTE_1515,2023-02-21,490.0,490.0,-511.82820659550634
CALLS_1DTE_1515,2023-02-22,-540.0,-540.0,-540.1324430587348
CALLS_1DTE_1515,2023-02-23,490.0,490.0,-535.9624633242644
CALLS_1DTE_1515,2023-02-24,-515.0,-515.0,-535.4108395796594
CALLS_1DTE_1515,2023-02-27,450.0,450.0,-511.8244057880941
CALLS_1DTE_1515,2023-02-28,470.0,470.0,-535.9718201449338
CALLS_1DTE_1515,2023-03-01,-525.0,-525.0,-530.9184722171699
CALLS_1DTE_1515,2023-03-02,-530.0,-530.0,-539.0606085392603
CALLS_1DTE_1515,2023-03-03,123.0,123.0,-538.8969872381224
CALLS_1DTE_1515,2023-03-06,485.0,485.0,-511.84323116917807
CALLS_1DTE_1515,2023-03-07,239.0,239.0,-501.3700162389541
CALLS_1DTE_1515,2023-03-08,470.0,470.0,-523.7355274761626
CALLS_1DTE_1515,2023-03-09,475.0,475.0,-501.4219092292773
CALLS_1DTE_1515,2023-03-10,495.0,495.0,-524.8983968628334
CALLS_1DTE_1515,2023-03-13,-490.0,-490.0,-510.8086872306102
CALLS_1DTE_1515,2023-03-14,-500.0,-500.0,-517.6468360970488
CALLS_1DTE_1515,2023-03-15,-480.0,-480.0,-543.4915754602112
CALLS_1DTE_1515,2023-03-16,480.0,480.0,-516.0463717185919
CALLS_1DTE_1515,2023-03-17,-490.0,-490.0,-515.5476752979105
CALLS_1DTE_1515,2023-03-20,-500.0,-500.0,-510.2967349190005
CALLS_1DTE_1515,2023-03-21,510.0,510.0,-535.2733256246704
CALLS_1DTE_1515,2023-03-22,495.0,495.0,-530.906853429503
CALLS_1DTE_1515,2023-03-23,-465.0,-465.0,-525.7288544095281
CALLS_1DTE_1515,2023-03-24,-500.0,-500.0,-538.2858860769461
CALLS_1DTE_1515,2023-03-27,510.0,510.0,-539.5215221904443
CALLS_1DTE_1515,2023-03-28,-520.0,-520.0,-543.7545685672939
CALLS_1DTE_1515,2023-03-29,-465.0,-465.0,-531.1601666320875
CALLS_1DTE_1515,2023-03-30,-455.0,-455.0,-533.400212935959
CALLS_1DTE_1515,2023-03-31,-515.0,-515.0,-518.7738163742576
CALLS_1DTE_1515,2023-04-03,465.0,465.0,-533.1170968452908
CALLS_1DTE_1515,2023-04-04,495.0,495.0,-514.1067214811072
CALLS_1DTE_1515,2023-04-05,-560.0,-560.0,-559.582957683479
CALLS_1DTE_1515,2023-04-06,-401.0,-401.0,-527.1242741781467
CALLS_1DTE_1515,2023-04-10,-394.0,-394.0,-531.7239324162684
CALLS_1DTE_1515,2023-04-11,455.0,455.0,-516.4807525729093
CALLS_1DTE_1515,2023-04-12,-500.0,-500.0,-532.0048228466334
CALLS_1DTE_1515,2023-04-13,490.0,490.0,-530.4270110722476
CALLS_1DTE_1515,2023-04-14,-530.0,-530.0,-538.2650535608244
CALLS_1DTE_1515,2023-04-17,-567.0,-567.0,-566.0046840246769
CALLS_1DTE_1515,2023-04-18,460.0,460.0,-526.512098234996
CALLS_1DTE_1515,2023-04-19,465.0,465.0,-538.210411839412
CALLS_1DTE_1515,2023-04-20,-525.0,-525.0,-541.8286035849461
CALLS_1DTE_1515,2023-04-21,-239.0,-239.0,-534.0621584213819
CALLS_1DTE_1515,2023-04-24,485.0,485.0,-554.5365240401854
CALLS_1DTE_1515,2023-04-25,440.0,440.0,-518.262081417362
CALLS_1DTE_1515,2023-04-26,-530.0,-530.0,-529.8609586441099
CALLS_1DTE_1515,2023-04-27,-525.0,-525.0,-545.4276196617012
CALLS_1DTE_1515,2023-04-28,153.0,153.0,-545.6305123209069
CALLS_1DTE_1515,2023-05-01,460.0,460.0,-557.9832819434578
CALLS_1DTE_1515,2023-05-02,500.0,500.0,-512.770227249545
CALLS_1DTE_1515,2023-05-03,510.0,510.0,-512.9362184166737
CALLS_1DTE_1515,2023-05-04,-490.0,-490.0,-532.644441029983
CALLS_1DTE_1515,2023-05-05,510.0,510.0,-526.2489596107166
CALLS_1DTE_1515,2023-05-08,435.0,435.0,-525.0608990237915
CALLS_1DTE_1515,2023-05-09,-510.0,-510.0,-541.1894927920434
CALLS_1DTE_1515,2023-05-10,485.0,485.0,-520.6487255354106
CALLS_1DTE_1515,2023-05-11,470.0,470.0,-542.8491168528216
CALLS_1DTE_1515,2023-05-12,-480.0,-480.0,-518.3765765385392
CALLS_1DTE_1515,2023-05-15,420.0,420.0,-528.5561023353293
CALLS_1DTE_1515,2023-05-16,-550.0,-550.0,-549.946363385233
CALLS_1DTE_1515,2023-05-17,-560.0,-560.0,-560.0684109378868
CALLS_1DTE_1515,2023-05-18,-525.0,-525.0,-535.309270885878
CALLS_1DTE_1515,2023-05-19,440.0,440.0,-519.8503532126839
CALLS_1DTE_1515,2023-05-22,475.0,475.0,-554.9826980270074
CALLS_1DTE_1515,2023-05-23,475.0,475.0,-519.6254662315317
CALLS_1DTE_1515,2023-05-24,-515.0,-515.0,-532.7534671327656
CALLS_1DTE_1515,2023-05-25,-550.0,-550.0,-545.1441170494074
CALLS_1DTE_1515,2023-05-26,520.0,515.0,-514.6682593606099
CALLS_1DTE_1515,2023-05-30,445.0,445.0,-527.3780211968673
CALLS_1DTE_1515,2023-05-31,-545.0,-545.0,-544.9814441546613
CALLS_1DTE_1515,2023-06-01,-510.0,-510.0,-539.140709502827
CALLS_1DTE_1515,2023-06-02,410.0,410.0,-518.4987418705942
CALLS_1DTE_1515,2023-06-05,-420.0,-420.0,-520.6109800492751
CALLS_1DTE_1515,2023-06-06,465.0,465.0,-569.2113654889309
CALLS_1DTE_1515,2023-06-07,-550.0,-550.0,-550.0460868173788
CALLS_1DTE_1515,2023-06-08,14.0,14.0,-535.8010425831183
CALLS_1DTE_1515,2023-06-09,-600.0,-585.0,-599.9062998524421
CALLS_1DTE_1515,2023-06-12,-530.0,-530.0,-535.3818730851862
CALLS_1DTE_1515,2023-06-13,-279.0,-279.0,-526.6607775607911
CALLS_1DTE_1515,2023-06-14,-565.0,-565.0,-566.575014982519
CALLS_1DTE_1515,2023-06-15,450.0,450.0,-550.2633395037717
CALLS_1DTE_1515,2023-06-16,480.0,480.0,-567.7394924627247
CALLS_1DTE_1515,2023-06-20,475.0,475.0,-546.8166563475575
CALLS_1DTE_1515,2023-06-21,266.0,266.0,-539.6911681155543
CALLS_1DTE_1515,2023-06-22,400.0,400.0,-541.8568685631153
CALLS_1DTE_1515,2023-06-23,435.0,435.0,-538.3078281130221
CALLS_1DTE_1515,2023-06-26,-580.0,-580.0,-579.9676305038765
CALLS_1DTE_1515,2023-06-27,460.0,460.0,-557.6452015976853
CALLS_1DTE_1515,2023-06-28,-540.0,-540.0,-549.0674298761616
CALLS_1DTE_1515,2023-06-29,-525.0,-525.0,-542.574255553184
CALLS_1DTE_1515,2023-06-30,401.0,401.0,-531.1469277080888
CALLS_1DTE_1515,2023-07-05,410.0,410.0,-558.1863902205638
CALLS_1DTE_1515,2023-07-06,490.0,490.0,-539.17878871117
CALLS_1DTE_1515,2023-07-07,440.0,440.0,-539.0463628206005
CALLS_1DTE_1515,2023-07-10,-565.0,-565.0,-565.0253741883796
CALLS_1DTE_1515,2023-07-11,-535.0,-535.0,-535.0607131372333
CALLS_1DTE_1515,2023-07-12,-580.0,-580.0,-579.4091027912579
CALLS_1DTE_1515,2023-07-13,465.0,465.0,-535.3301823603382
CALLS_1DTE_1515,2023-07-14,-530.0,-530.0,-539.7478438460498
CALLS_1DTE_1515,2023-07-17,-545.0,-545.0,-544.5145005660404
CALLS_1DTE_1515,2023-07-18,-127.0,-127.0,-540.1836899303236
CALLS_1DTE_1515,2023-07-19,395.0,395.0,-559.0619443287148
CALLS_1DTE_1515,2023-07-20,316.0,316.0,-541.3237711981637
CALLS_1DTE_1515,2023-07-21,-575.0,-575.0,-579.2523803750948
CALLS_1DTE_1515,2023-07-24,-585.0,-585.0,-585.511482501167
CALLS_1DTE_1515,2023-07-25,470.0,470.0,-553.4760370016875
CALLS_1DTE_1515,2023-07-26,415.0,415.0,-533.0113093588228
CALLS_1DTE_1515,2023-07-27,-520.0,-520.0,-533.0133157129586
CALLS_1DTE_1515,2023-07-28,34.0,34.0,-529.6855562991456
CALLS_1DTE_1515,2023-07-31,410.0,410.0,-552.255767269392
CALLS_1DTE_1515,2023-08-01,460.0,460.0,-551.9399149612985
CALLS_1DTE_1515,2023-08-02,485.0,485.0,-531.9034628524672
CALLS_1DTE_1515,2023-08-03,510.0,510.0,-541.3819329849267
CALLS_1DTE_1515,2023-08-04,-490.0,-490.0,-518.288266652532
CALLS_1DTE_1515,2023-08-07,490.0,490.0,-520.9240177651227
CALLS_1DTE_1515,2023-08-08,480.0,480.0,-532.6760641698121
CALLS_1DTE_1515,2023-08-09,480.0,480.0,-524.7707969621342
CALLS_1DTE_1515,2023-08-10,490.0,490.0,-517.5125178230251
CALLS_1DTE_1515,2023-08-11,-520.0,-520.0,-538.8650941181186
CALLS_1DTE_1515,2023-08-14,445.0,445.0,-534.1244543016817
CALLS_1DTE_1515,2023-08-15,430.0,430.0,-525.0833697219489
CALLS_1DTE_1515,2023-08-16,490.0,490.0,-532.7393154937018
CALLS_1DTE_1515,2023-08-17,470.0,470.0,-503.83847034850845
CALLS_1DTE_1515,2023-08-18,-540.0,-540.0,-539.8881339111167
CALLS_1DTE_1515,2023-08-21,480.0,480.0,-526.7883461863589
CALLS_1DTE_1515,2023-08-22,-525.0,-525.0,-530.7776287192454
CALLS_1DTE_1515,2023-08-23,460.0,460.0,-519.5778310566718
CALLS_1DTE_1515,2023-08-24,-515.0,-515.0,-522.0504227679929
CALLS_1DTE_1515,2023-08-25,-500.0,-500.0,-526.2173327797988
CALLS_1DTE_1515,2023-08-28,-525.0,-525.0,-525.6202582735203
CALLS_1DTE_1515,2023-08-29,-580.0,-580.0,-563.8512761003662
CALLS_1DTE_1515,2023-08-30,450.0,450.0,-546.5745330059985
