book,open_date,pnl,pnl_winsor,prediction
PUTS_0DTE_11,2022-09-26,-555.0,-555.0,-4726.779739082599
PUTS_0DTE_11,2022-09-27,-605.0,-605.0,-4327.59463206889
PUTS_0DTE_11,2022-09-28,3976.0,3976.0,-3694.740307483377
PUTS_0DTE_11,2022-09-29,440.0,440.0,-6267.480394485735
PUTS_0DTE_11,2022-09-30,-580.0,-580.0,-4535.0308979633965
PUTS_0DTE_11,2022-10-03,375.0,375.0,-3364.359690494444
PUTS_0DTE_11,2022-10-04,400.0,400.0,-3364.359690494444
PUTS_0DTE_11,2022-10-05,5545.0,5545.0,-7361.845341830517
PUTS_0DTE_11,2022-10-06,-595.0,-595.0,-6951.85743893199
PUTS_0DTE_11,2022-10-07,-570.0,-570.0,-6267.480394485735
PUTS_0DTE_11,2022-10-10,189.0,189.0,-6504.973540099208
PUTS_0DTE_11,2022-10-11,420.0,420.0,-6222.63370288592
PUTS_0DTE_11,2022-10-12,-8360.0,-7547.0,-8364.827261113975
PUTS_0DTE_11,2022-10-13,405.0,405.0,-3994.2624855603344
PUTS_0DTE_11,2022-10-14,-550.0,-550.0,-6156.608253190671
PUTS_0DTE_11,2022-10-17,405.0,405.0,-3640.280943567912
PUTS_0DTE_11,2022-10-18,-87.0,-87.0,-6169.651526537444
PUTS_0DTE_11,2022-10-19,-7215.0,-7215.0,-7405.789480730766
PUTS_0DTE_11,2022-10-20,-575.0,-575.0,-4214.152324620447
PUTS_0DTE_11,2022-10-21,445.0,445.0,-4255.461672883227
PUTS_0DTE_11,2022-10-24,405.0,405.0,-4064.9147370298238
PUTS_0DTE_11,2022-10-25,430.0,430.0,-3501.606915935444
PUTS_0DTE_11,2022-10-26,-4490.0,-4490.0,-4521.6422383203935
PUTS_0DTE_11,2022-10-27,-560.0,-560.0,-7963.935668131539
PUTS_0DTE_11,2022-10-28,375.0,375.0,-3611.5803971552614
PUTS_0DTE_11,2022-10-31,435.0,435.0,-6514.14633032171
PUTS_0DTE_11,2022-11-01,430.0,430.0,-6087.2699465007845
PUTS_0DTE_11,2022-11-02,-7625.0,-7547.0,-7662.276970530147
PUTS_0DTE_11,2022-11-03,-570.0,-570.0,-4714.104418269189
PUTS_0DTE_11,2022-11-04,-60.0,-60.0,-2270.5040752516816
PUTS_0DTE_11,2022-11-07,420.0,420.0,-3705.913478578907
PUTS_0DTE_11,2022-11-08,-580.0,-580.0,-601.200025294669
PUTS_0DTE_11,2022-11-09,-7290.0,-7290.0,-6467.787611628628
PUTS_0DTE_11,2022-11-10,350.0,350.0,139.80238097242037
PUTS_0DTE_11,2022-11-11,405.0,405.0,-99.90367391082488
PUTS_0DTE_11,2022-11-14,-630.0,-630.0,-821.7607721170004
PUTS_0DTE_11,2022-11-15,-585.0,-585.0,-4577.616292159789
PUTS_0DTE_11,2022-11-16,-5204.0,-5204.0,-5260.739090420032
PUTS_0DTE_11,2022-11-17,425.0,425.0,-2360.3883970136553
PUTS_0DTE_11,2022-11-18,425.0,425.0,-5216.047490507715
PUTS_0DTE_11,2022-11-21,435.0,435.0,-3375.8486814986013
PUTS_0DTE_11,2022-11-22,350.0,350.0,-251.54199434760505
PUTS_0DTE_11,2022-11-23,-1354.0,-1354.0,-1721.0550224649155
PUTS_0DTE_11,2022-11-25,-98.0,-98.0,-1677.2097086417782
PUTS_0DTE_11,2022-11-28,-610.0,-610.0,-3932.9430894827365
PUTS_0DTE_11,2022-11-29,-575.0,-575.0,-4531.776976221963
PUTS_0DTE_11,2022-11-30,1074.0,1074.0,-4650.582583448964
PUTS_0DTE_11,2022-12-01,72.0,72.0,-3991.2048472529536
PUTS_0DTE_11,2022-12-02,440.0,440.0,-3258.8579785605243
PUTS_0DTE_11,2022-12-05,-615.0,-615.0,-3666.0634179755693
PUTS_0DTE_11,2022-12-06,-590.0,-590.0,-3669.5291950712067
PUTS_0DTE_11,2022-12-07,4459.0,4459.0,-1415.8178708388214
PUTS_0DTE_11,2022-12-08,-219.0,-219.0,-1203.9772914477212
PUTS_0DTE_11,2022-12-09,-630.0,-630.0,-659.4162669286286
PUTS_0DTE_11,2022-12-12,325.0,325.0,123.63406254076759
PUTS_0DTE_11,2022-12-13,-560.0,-560.0,-3947.1692703563413
PUTS_0DTE_11,2022-12-14,14935.0,8000.249999999968,1.7583144803129231
PUTS_0DTE_11,2022-12-15,-515.0,-515.0,-3270.5818766217762
PUTS_0DTE_11,2022-12-16,460.0,460.0,-3709.4809851935643
PUTS_0DTE_11,2022-12-19,-580.0,-580.0,-5046.467502465632
PUTS_0DTE_11,2022-12-20,-433.0,-433.0,-441.70947363615016
PUTS_0DTE_11,2022-12-21,1531.0,1531.0,-946.1091675465696
PUTS_0DTE_11,2022-12-22,475.0,475.0,-3394.5522591835174
PUTS_0DTE_11,2022-12-23,425.0,425.0,-1723.2936735934343
PUTS_0DTE_11,2022-12-27,-195.0,-195.0,-2872.7301391311403
PUTS_0DTE_11,2022-12-28,-5190.0,-5190.0,-5190.88606827538
PUTS_0DTE_11,2022-12-29,345.0,345.0,388.7041823694832
PUTS_0DTE_11,2022-12-30,400.0,400.0,-2629.277838289485
PUTS_0DTE_11,2023-01-03,-580.0,-580.0,-5526.212500808751
PUTS_0DTE_11,2023-01-04,-6200.0,-6200.0,-5176.745839083784
PUTS_0DTE_11,2023-01-05,260.0,260.0,-3471.9965702921068
PUTS_0DTE_11,2023-01-06,370.0,370.0,307.89664285964454
PUTS_0DTE_11,2023-01-09,-615.0,-615.0,-1605.4535312216021
PUTS_0DTE_11,2023-01-10,435.0,435.0,-1728.4932069656604
PUTS_0DTE_11,2023-01-11,-5830.0,-5830.0,-5833.551909426643
PUTS_0DTE_11,2023-01-12,450.0,450.0,-2023.6243144249752
PUTS_0DTE_11,2023-01-13,355.0,355.0,-870.7664451690904
PUTS_0DTE_11,2023-01-17,-13.0,-13.0,-2383.3982208683774
PUTS_0DTE_11,2023-01-18,-4250.0,-4250.0,-4809.406537464849
PUTS_0DTE_11,2023-01-19,380.0,380.0,-3444.232459726365
PUTS_0DTE_11,2023-01-20,410.0,410.0,-655.0828372616775
PUTS_0DTE_11,2023-01-23,345.0,345.0,-229.61625959879234
PUTS_0DTE_11,2023-01-24,350.0,350.0,-1119.4796795996149
PUTS_0DTE_11,2023-01-25,-5640.0,-5640.0,-5660.303757449085
PUTS_0DTE_11,2023-01-26,415.0,415.0,-2576.244002976543
PUTS_0DTE_11,2023-01-27,440.0,440.0,-2359.848414684909
PUTS_0DTE_11,2023-01-30,-620.0,-620.0,-2653.5238621627063
PUTS_0DTE_11,2023-01-31,375.0,375.0,-179.38921728805678
PUTS_0DTE_11,2023-02-01,-4970.0,-4970.0,-4977.510221872466
PUTS_0DTE_11,2023-02-02,381.0,381.0,-1231.8601820198348
PUTS_0DTE_11,2023-02-03,-550.0,-550.0,-1340.1692420557788
PUTS_0DTE_11,2023-02-06,28.0,28.0,-1852.1557329408831
PUTS_0DTE_11,2023-02-07,470.0,470.0,-1446.9561858853842
PUTS_0DTE_11,2023-02-08,6056.0,6056.0,-4000.5736937967067
PUTS_0DTE_11,2023-02-09,-595.0,-595.0,-4294.226468015484
PUTS_0DTE_11,2023-02-10,400.0,400.0,-2141.3656403856585
PUTS_0DTE_11,2023-02-13,410.0,410.0,-881.2440420166872
PUTS_0DTE_11,2023-02-14,440.0,440.0,-1452.809536106294
PUTS_0DTE_11,2023-02-15,11611.0,8000.249999999968,-2767.9690075221843
PUTS_0DTE_11,2023-02-16,-620.0,-620.0,-3039.8235980918566
